Sample No. ,Sample depth ,Reps,N [%],C [%],C/N  ratio,Soil pH,Soil EC / ?Scm-1,NaCl IP mg/kg ,NaCl TP mg/kg,NaCl Org P mg/kg,NaBD IP mg/kg,NaBD TP mg/kg,NaBD Org P mg/kg,NaOH IP mg/kg,NaOH TP mg/kg,NaOH Org P mg/kg,HCl IP mg/kg,HCl TP mg/kg,HCl Org P mg/kg,Residue mg/kg
1,0.5,R1,0.29426,1.933,6.5681,5.42,18.03,na,3.198,na,41.57333333,56.384,14.81066667,374.688,505.1146667,130.4266667,4.042666667,18.33066667,14.288,50.528
2,,R2,0.33497,2.072,6.1868,,,2.28,2.622,0.342,50,62.34666667,12.34666667,380.0053333,506.656,126.6506667,5.653333333,22.336,16.68266667,49.54133333
3,,R3,0.33545,2.013,6.0018,,,2.178,2.922,0.744,47.97333333,60.34133333,12.368,370.8586667,498.016,127.1573333,6.469333333,26.53333333,20.064,na
4,1.5,R1,0.31509,1.759,5.5834,5.52,16.9,2.676,2.292,na,42.176,54.00533333,11.82933333,362.3786667,470.7733333,108.3946667,4.869333333,19.888,15.01866667,42.63466667
5,,R2,0.2941,1.881,6.3955,,,na,na,na,39.25333333,49.792,10.53866667,334.336,455.6853333,121.3493333,5.546666667,21.184,15.63733333,58.14933333
6,,R3,na,na,na,,,1.506,1.59,0.084,40.66133333,53.33333333,12.672,325.6373333,455.9466667,130.3093333,5.872,23.33866667,17.46666667,na
7,2.5,R1,0.12295,1.48,12.0386,5.47,15.13,0.654,2.124,1.47,33.13066667,47.79733333,14.66666667,302.528,425.1093333,122.5813333,4.666666667,17.70133333,13.03466667,56.36266667
8,,R2,0.12719,1.484,11.6667,,,na,1.644,na,33.63733333,48.544,14.90666667,321.5253333,430.1813333,108.656,4.938666667,21.65866667,16.72,42.82133333
9,,R3,0.1285,1.489,11.5915,,,0.756,na,na,35.52,47.46666667,11.94666667,311.9786667,426.7733333,114.7946667,4.544,19.74933333,15.20533333,na
10,3.5,R1,0.12017,1.371,11.4089,5.63,14.4,na,2.136,1.05,27.53066667,40.72533333,13.19466667,270.768,378.1386667,107.3706667,3.664,17.53066667,13.86666667,47.70133333
11,,R2,0.12384,1.372,11.0819,,,1.944,1.842,na,28.272,41.73866667,13.46666667,285.0186667,399.2693333,114.2506667,4.064,18.37333333,14.30933333,49.472
12,,R3,0.12132,1.367,11.2694,,,1.95,na,1.77,27.84,43.82933333,15.98933333,282.512,394.24,111.728,6.341333333,16.58666667,10.24533333,na
13,4.5,R1,0.11723,1.346,11.483,5.6,9.872,2.346,na,na,27.54666667,41.44,13.89333333,269.0293333,379.44,110.4106667,4.602666667,14.384,9.781333333,48.112
14,,R2,0.1153,1.346,11.673,,,na,2.196,2.19,27.648,39.424,11.776,299.472,344.8053333,45.33333333,4.986666667,16.30933333,11.32266667,60.312
15,,R3,0.115,1.338,11.6368,,,1.638,na,na,26.208,na,na,310.2613333,377.328,67.06666667,2.789333333,13.38666667,10.59733333,na
16,6.5,R1,0.10354,1.226,11.8364,5.58,7.488,1.728,2.478,0.75,20.91733333,37.952,17.03466667,305.9466667,350.6506667,44.704,3.408,13.99466667,10.58666667,42.26933333
17,,R2,0.10289,1.224,11.8927,,,na,0.624,0.564,22.18133333,39.296,17.11466667,242.2986667,343.3173333,101.0186667,4.357333333,12.48,8.122666667,50.144
18,,R3,0.10139,1.218,12.0103,,,0.444,1.518,1.074,21.30666667,37.70666667,16.4,251.04,359.792,108.752,2.496,14.30933333,11.81333333,na
19,9.5,R1,0.10067,1.193,11.8513,5.64,7.355,1.152,na,na,17.89333333,36.288,18.39466667,229.248,331.1466667,101.8986667,2.741333333,13.28,10.53866667,54.504
20,,R2,0.10245,1.203,11.738,,,na,na,na,19.05066667,36.49066667,17.44,238.2933333,337.76,99.46666667,3.525333333,13.27466667,9.749333333,51.88533333
21,,R3,0.10056,1.192,11.8542,,,1.104,1.116,0.012,18.20266667,34.32533333,16.12266667,229.9946667,333.3226667,103.328,3.258666667,12.80533333,9.546666667,na
22,12.5,R1,0.10133,1.269,12.528,5.62,5.391,1.356,2.37,1.014,17.75466667,33.51466667,15.76,246.464,350.832,104.368,5.472,14.912,9.44,47.672
23,,R2,0.10346,1.247,12.0495,,,0.965333333,na,na,18.432,32.90666667,14.47466667,240.0053333,349.744,109.7386667,2.357333333,14.192,11.83466667,51.104
24,,R3,0.10445,1.258,12.0427,,,1.205333333,na,1.333333333,16.28266667,na,na,252.2186667,344.496,92.27733333,3.546666667,15.10933333,11.56266667,na
25,15.5,R1,0.10378,1.375,13.2523,5.49,2.35,0.421333333,1.493333333,1.072,na,32.65066667,15.664,292.3573333,345.6106667,53.25333333,3.370666667,11.86133333,8.490666667,56.24266667
26,,R2,0.10418,1.381,13.2527,,,0.037333333,na,na,21.76,na,na,291.1893333,358.4426667,67.25333333,4.304,16.03733333,11.73333333,54.22133333
27,,R3,0.1074,1.379,12.8388,,,0.416,na,na,19.264,35.392,16.128,269.2106667,353.1466667,83.936,2.410666667,11.84,9.429333333,na
28,19.5,R1,0.09781,2.715,27.7563,5.68,2.329,0.650666667,0.693333333,0.042666667,19.01333333,31.392,12.37866667,164.8,181.7013333,16.90133333,2.842666667,10.90666667,8.064,23.024
29,,R2,0.0983,2.551,25.9528,,,0.506666667,na,na,16.06933333,27.09333333,11.024,198.864,224.6773333,25.81333333,2.437333333,11.34933333,8.912,30.86933333
30,,R3,0.09901,2.617,26.4355,,,0.490666667,na,na,16.45866667,30.99733333,14.53866667,194.0213333,208.496,14.47466667,2.213333333,10.96533333,8.752,na
